Name,Store Number,Convenience,Shopping,Specialty,Unsought,Other
MONROE COUNTY,1099,33410,5253,20650,7507,33507
MONTGOMERY COUNTY,1101,301121,42712,169038,89371,296474
PIKE ROAD,1101,9473,326,5276,3871,8943
DECATUR CITY,1103,99476,9576,45791,44109,109323
MORGAN COUNTY,1103,78919,6537,41600,30782,81220
HARTSELLE CITY,1103,30401,1588,17791,11022,29601
PERRY COUNTY,1105,16271,3616,10175,2480,15450
PICKENS COUNTY,1107,26826,3541,17386,5899,27921
PIKE COUNTY,1109,23840,3437,13858,6545,23530
TROY CITY,1109,20582,2097,10239,8246,19199
RANDOLPH COUNTY,1111,21531,2475,13280,5776,23702
ROANOKE CITY,1111,13567,1714,8577,3276,13381
PHENIX CITY,1113,66280,7735,40838,17707,68862
RUSSELL COUNTY,1113,33852,4285,21466,8101,32367
ST CLAIR COUNTY,1115,80428,8311,51603,20514,80152
PELL CITY,1115,37455,3535,23100,10820,36396
SHELBY COUNTY,1117,207108,11491,107556,88061,204630
PELHAM CITY,1117,38081,2032,16617,19432,64321
ALABASTER CITY,1117,70449,4244,34451,31754,91470
SUMTER COUNTY,1119,19254,3747,11192,4315,19797
SYLACAUGA CITY,1121,22318,2431,13419,6468,30634
TALLADEGA CITY,1121,21934,2863,13355,5716,22472
TALLADEGA COUNTY,1121,77788,8297,43662,25829,76784
TALLAPOOSA COUNTY,1123,29725,3597,14928,11200,26794
ALEXANDER CITY,1123,32454,3717,17018,11719,29642
TUSCALOOSA CITY,1125,126506,16560,51035,58911,125943
TUSCALOOSA COUNTY,1125,180014,15123,102089,62802,172552
JASPER CITY,1127,27747,2406,14860,10481,29622
WALKER COUNTY,1127,77323,10228,44847,22248,76823
WASHINGTON COUNTY,1129,28275,3865,16255,8155,28507
WILCOX COUNTY,1131,19633,3718,11702,4213,19943
WINSTON COUNTY,1133,26086,2743,15593,7750,25019
HALEYVILLE CITY,1133,16709,1828,9904,4977,16158
MOUNT EDGECUMBE HIGH SCHOOL AGENCY,2220,12154,3725,8420,9,12112
ALASKA GATEWAY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2240,11433,2284,9048,101,12381
ALEUTIAN REGION,2020,1493,115,1321,57,1804
KUSPUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2050,14354,6430,7150,774,14494
YUPIIT SCHOOLS,2050,12348,4347,7167,834,15309
SOUTHWEST REGION SCHOOLS,2070,26198,10689,14962,547,24097
SOUTHEAST ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2198,7820,822,6665,333,9334
BERING STRAIT REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2180,48238,10451,34684,3103,66782
CHATHAM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2105,5067,814,4140,113,5074
LOWER KUSKOKWIM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2050,146279,17720,108126,20433,172073
DELTA-GREELY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2240,13494,1460,11811,223,13117
CHUGACH REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2020,6357,1672,3615,1070,6729
COPPER RIVER REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2261,8679,1013,7458,208,8392
LOWER YUKON REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2158,61350,24947,35250,1153,61506
KASHUNAMIUT,2158,7874,3044,4342,488,10008
IDITAROD REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2290,7451,878,6365,208,7753
YUKON FLATS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2290,9650,1889,7636,125,10549
YUKON-KOYUKUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2090,23948,4476,19000,472,24538
ANNETTE ISLAND REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2198,10463,6840,3444,179,8529
PRIBILOF ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,3206,1053,1718,435,3011
BRISTOL BAY BOROUGH,2060,3986,359,2037,1590,4292
FAIRBANKS N STAR BOROUGH,2090,249155,32095,156833,60227,233935
HAINES BOROUGH,2100,6698,437,4377,1884,6644
KENAI PENINSULA BOROUGH,2122,161721,9426,102241,50054,163029
KETCHIKAN-GATEWAY BOROUGH,2130,42426,2348,30715,9363,40414
NORTHWEST ARCTIC BOROUGH SCHOOLS,2188,74025,16249,47196,10580,75554
KODIAK ISLAND BOROUGH,2150,53750,5515,37013,11222,57229
MATANUSKA SUSITNA BOROUGH,2170,303215,18467,222607,62141,358757
NORTH SLOPE BOROUGH SCHOOLS,2185,74050,10285,22844,40921,77190
PETERSBURG CITY,2195,10479,587,7899,1993,10277
ALEUTIANS EAST BOROUGH,2013,9290,2396,5749,1145,9399
LAKE AND PENINSULA BOROUGH SCHOOLS,2060,19780,2087,12193,5500,20312
DENALI BOROUGH,2068,10246,243,7634,2369,9707
YAKUTAT,2282,2347,307,1399,641,2381
SKAGWAY,2230,3088,41,1154,1893,2911
UNALASKA CITY,2016,10244,338,5500,4406,9875
ANCHORAGE,2020,758779,78331,463256,217192,800058
DILLINGHAM CITY,2070,12098,1802,8227,2069,12761
JUNEAU BOROUGH,2110,93302,4622,60304,28376,84571
NOME CITY,2180,16027,1332,11504,3191,16978
CRAIG CITY,2198,7797,1857,5144,796,8334
HYDABURG CITY,2198,2757,460,1927,370,2971
KLAWOCK CITY,2198,4145,1148,2689,308,3849
SITKA BOROUGH SCHOOLS,2220,28895,2553,18239,8103,26960
HOONAH CITY,2105,4166,919,2588,659,4375
PELICAN CITY,2105,583,27,530,26,547
CORDOVA CITY,2261,8039,519,5522,1998,6649
VALDEZ CITY,2261,19370,583,7807,10980,18570
ST MARYS,2158,10661,1222,9149,290,11557
KAKE CITY,2198,3776,1342,2241,193,3679
GALENA CITY,2290,32928,1895,29706,1327,32884
NENANA CITY,2290,11030,1284,9574,172,11138
TANANA CITY,2290,1583,149,1302,132,1775
WRANGELL CITY,2275,6399,1426,4253,720,5860
FORT HUACHUCA ACCOMMODATION SCHOOL,4003,14019,7699,5720,600,9946
COCONINO COUNTY REGIONAL ACCOMODATION DISTRICT,4005,2796,491,1771,534,2077
GILA COUNTY REGIONAL,4007,674,225,304,145,342
GRAHAM COUNTY SPECIAL SERVICES,4009,1446,553,32,861,1436
MARICOPA COUNTY REGIONAL,4013,3584,485,2677,422,4022
RAINBOW ACCOMMODATION SCHOOL,4017,145,7,130,8,320
PIMA ACCOMMODATION DISTRICT,4019,852,335,461,56,946
MARY C OBRIEN ACCOMMODATION DISTRICT,4021,5075,312,1768,2995,4726
YAVAPAI ACCOMMODATION,4025,1165,60,687,418,985
ALPINE SCHOOL DISTRICT 7,4001,1093,208,450,435,990
CHINLE UNIFIED SCHOOL DISTRICT 24,4001,56455,32310,20248,3897,48856
CONCHO SCHOOL DISTRICT 6,4001,3457,308,1584,1565,3279
GANADO UNIFIED SCHOOL DISTRICT 20,4001,24182,13432,8403,2347,25080
MCNARY SCHOOL DISTRICT 23,4001,2370,1303,929,138,2031
SANDERS UNIFIED SCHOOL DISTRICT 18,4001,11997,6689,4696,612,11840
ST JOHNS UNIFIED SCHOOL DISTRICT 1,4001,8286,1186,586,6514,7452
ROUND VALLEY UNIFIED SCHOOL DISRICT 10,4001,10775,1065,827,8883,11268
WINDOW ROCK CONSOLIDATED SCHOOL DISTRICT 8,4001,25675,14702,9310,1663,22369
RED MESA UNIFIED SCHOOL DISTRICT 27,4001,12188,6679,4871,638,14370
VERNON ELEMENTARY SCHOOL DISTRICT 9,4001,1692,345,675,672,1900
APACHE SCHOOL DISTRICT 42,4003,226,27,81,118,209
ASH CREEK SCHOOL DISTRICT 53,4003,846,110,113,623,836
BISBEE UNIFIED SCHOOL DISTRICT 2,4003,7939,990,2914,4035,6996
BOWIE SCHOOL DISTRICT 14,4003,1410,131,76,1203,1353
SIERRA VISTA UNIFIED SCHOOL DISTRICT 68,4003,43704,4679,19476,19549,40828
COCHISE SCHOOL DISTRICT 26,4003,2724,39,56,2629,1466
DOUBLE ADOBE SCHOOL DISTRICT 45,4003,861,20,600,241,735
DOUGLAS SCHOOL DISTRICT 27,4003,32817,6738,18496,7583,27535
ELFRIDA SCHOOL DISTRICT 12,4003,1368,133,768,467,1237
MCNEAL SCHOOL DISTRICT 55,4003,841,91,421,329,799
NACO SCHOOL DISTRICT 23,4003,3666,371,2769,526,3202
PALOMINAS SCHOOL DISTRICT 49,4003,12797,856,7179,4762,10553
PEARCE SCHOOL DISTRICT 22,4003,1327,89,453,785,1329
VALLEY UNION HIGH SCHOOL DISTRICT 22,4003,2083,110,311,1662,1741
POMERENE SCHOOL DISTRICT 64,4003,1902,116,645,1141,1795
ST DAVID SCHOOL DISTRICT 21,4003,5008,563,1914,2531,4277
SAN SIMON SCHOOL DISTRICT 18,4003,2033,96,567,1370,1666
TOMBSTONE SCHOOL DISTRICT 1,4003,10002,1052,4542,4408,8489
WILLCOX SCHOOL DISTRICT 13,4003,12037,1427,4782,5828,8939
COCHISE TECHNOLOGY DISTRICT,4009,4094,206,3246,642,3372
BENSON UNIFIED,4003,11662,865,4951,5846,10008
FLAGSTAFF SCHOOL DISTRICT 1,4005,96896,12062,20239,64595,83839
FREDONIA-MOCCASIN BI-COUNTY SCHOOL DISTRICT 6,4005,3429,859,865,1705,2548
GRAND CANYON SCHOOL DISTRICT 4,4005,5053,1152,1045,2856,4190
MAINE CONSOLIDATED SCHOOL DISTRICT 10,4005,2376,211,481,1684,2245
TUBA CITY UNIFIED SCHOOL DISTRICT 15,4005,25462,13144,7460,4858,26209
WILLIAMS SCHOOL DISTRICT 2,4005,6063,970,784,4309,5397
COCONINO ASSOCIATION FOR VOCATION INDUSTRY & TECHNOLOGY(CAVIAT),4005,2761,4,1595,1162,3424
CHEVELON BUTTE SCHOOL DISTRICT 5,4005,623,41,39,543,432
PAGE SCHOOL DISTRICT 8,4005,29871,12378,7201,10292,25846
GLOBE SCHOOL DISTRICT 1,4007,15108,3632,7718,3758,12782
HAYDEN-WINKELMAN SCHOOL DISTRICT 41,4007,3575,463,1637,1475,3210
MIAMI UNIFIED SCHOOL DISTRICT 40,4007,10233,1581,2574,6078,8739
TONTO SCHOOL DISTRICT 33,4007,1360,266,323,771,1218
PAYSON UNIFIED SCHOOL DISTRICT 10,4007,21588,2904,5638,13046,19630
PINE-STRAWBERRY SCHOOL DISTRICT 12,4007,3183,255,350,2578,3285
SAN CARLOS UNIFIED SCHOOL DISTRICT 20,4007,15772,6239,8035,1498,21430
YOUNG SCHOOL DISTRICT 5,4007,1344,158,108,1078,1342
GILA INSITUTE FOR TECHNOLOGY,4009,2277,142,1730,405,1323
COBRE VALLEY INSTITUTE OF TECHNOLOGY DISTRICT,4021,1265,21,1075,169,1266
BONITA SCHOOL DISTRICT 16,4009,1119,48,258,813,1492
FT THOMAS SCHOOL DISTRICT 7,4009,8957,5081,3552,324,8788
KLONDYKE SCHOOL DISTRICT 9,4009,3,0,0,3,4
PIMA UNIFIED SCHOOL DISTRICT 6,4009,6357,547,4572,1238,5932
SAFFORD SCHOOL DISTRICT 1,4009,21582,2630,11908,7044,22498
SOLOMONVILLE SCHOOL DISTRICT 5,4009,2319,243,1265,811,2223
THATCHER SCHOOL DISTRICT 4,4009,11633,668,7905,3060,10584
BLUE SCHOOL DISTRICT 22,4011,181,53,7,121,125
DUNCAN UNIFIED SCHOOL DISTRICT 2,4011,4480,439,273,3768,3591
MORENI SCHOOL DISTRICT 18,4011,12493,361,759,11373,11997
EAGLE ELEMENTARY DISTRICT 45,4011,5,5,0,0,7
AGUILA SCHOOL DISTRICT 63,4013,2151,398,958,795,2095
ALHAMBRA SCHOOL DISTRICT 68,4013,111012,23998,59501,27513,105669
ARLINGTON SCHOOL DISTRICT 47,4013,3386,550,137,2699,2753
AVONDALE SCHOOL DISTRICT 44,4013,51018,6368,22157,22493,45211
BALSZ SCHOOL DISTRICT 31,4013,27211,5874,8169,13168,22745
BUCKEYE SCHOOL DISTRICT 33,4013,37120,4218,21553,11349,36075
BUCKEYE UNION HIGH SCHOOL DISTRICT 201,4013,39767,3149,11431,25187,50584
CARTWRIGHT SCHOOL DISTRICT 83,4013,148509,32938,83648,31923,129934
CAVE CREEK UNIFIED SCHOOL DISTRICT 93,4013,46654,2130,9485,35039,55252
CHANDLER UNIFIED SCHOOL DISTRICT 80,4013,350971,20423,150120,180428,331019
CREIGHTON ELEMENTARY SCHOOL DISTRICT 14,4013,62170,14180,24190,23800,54964
DYSART SCHOOL DISTRICT 89,4013,198615,18104,98553,81958,169660
FOWLER SCHOOL DISTRICT 45,4013,39932,8273,18584,13075,35233
GILA BEND UNIFIED SCHOOL DISTRICT 24,4013,5612,1015,425,4172,5006
GILBERT SCHOOL DISTRICT 41,4013,284987,15603,140366,129018,248612
GLENDALE ELEMENTARY SCHOOL DISTRICT 40,4013,101892,21249,58736,21907,98444
GLENDALE UNION HIGH SCHOOL DISTRICT 205,4013,145573,16598,62559,66416,137966
HIGLEY UNIFIED,4013,92291,4539,44995,42757,84378
ISAAC SCHOOL DISTRICT 5,4013,61796,14056,31902,15838,58144
KYRENE SCHOOL DISTRICT 28,4013,149151,7515,56431,85205,144729
LAVEEN SCHOOL DISTRICT 59,4013,51951,6111,28575,17265,59332
LIBERTY SCHOOL DISTRICT 25,4013,25017,2345,12976,9696,23310
LITCHFIELD ELEMENTARY SCHOOL DISTRICT 79,4013,80784,5813,43474,31497,75141
LITTLETON ELEMENTARY SCHOOL DISTRICT 65,4013,43772,6060,22342,15370,50376
MADISON ELEMENTARY SCHOOL DISTRICT 38,4013,64368,4045,14323,46000,66981
MESA UNIFIED,4013,542277,64742,256023,221512,537276
MOBILE ELEMENTARY SCHOOL DISTRICT 86,4013,1042,33,12,997,851
MORRISTOWN SCHOOL DISTRICT 75,4013,2602,284,1135,1183,1792
MURPHY SCHOOL DISTRICT 21,4013,18511,4803,7494,6214,16734
NADABURG SCHOOL DISTRICT 81,4013,10641,1657,5770,3214,10481
OSBORN SCHOOL DISTRICT 8,4013,29894,6440,7833,15621,25733
PALO VERDE SCHOOL DISTRICT 49,4013,4304,652,2317,1335,3827
PENDERGAST SCHOOL DISTRICT 92,4013,76894,10020,42383,24491,71080
PEORIA UNIFIED SCHOOL DISTRICT 11,4013,304660,23069,138370,143221,288368
PHOENIX ELEMENTARY SCHOOL DISTRICT 1,4013,87816,18897,21525,47394,74249
PHOENIX UNION HIGH SCHOOL DISTRICT 210,4013,322967,33693,76601,212673,315669
QUEEN CREEK SCHOOL DISTRICT 95,4013,47124,3851,21122,22151,57168
RIVERSIDE SCHOOL DISTRICT 2,4013,14562,1677,562,12323,24278
ROOSEVELT SCHOOL DISTRICT 66,4013,106435,26265,37807,42363,99793
SCOTTSDALE UNIFIED SCHOOL DISTRICT 48,4013,227712,16017,34958,176737,202733
SENTINEL SCHOOL DISTRICT 71,4013,1110,79,188,843,1033
PARADISE VALLEY SCHOOL DISTRICT 69 AND 217,4013,310611,23253,81190,206168,280554
TEMPE ELEMENTARY SCHOOL DISTRICT 3,4013,122259,13669,32659,75931,120161
TEMPE UNION HIGH SCHOOL DISTRICT 213,4013,131961,5904,29282,96775,116803
PALOMA SCHOOL DISTRICT 94,4013,4408,207,101,4100,5310
TOLLESON ELEMENTARY SCHOOL DISTRICT 17,4013,25690,4926,11726,9038,22806
TOLLESON UNION HIGH SCHOOL DISTRICT 214,4013,96398,8885,42972,44541,75441
UNION SCHOOL DISTRICT 62,4013,14775,2679,8747,3349,13563
WASHINGTON SCHOOL DISTRICT 6,4013,211841,39366,97891,74584,189277
WICKENBURG UNIFIED SCHOOL DISTRICT 9,4013,14607,1329,2407,10871,12712
WILSON SCHOOL DISTRICT 7,4013,14837,3673,3849,7315,14006
WESTERN MARICOPA EDUCATION CENTER,4013,33524,53,18367,15104,35691
EAST VALLEY INSTITUTE OF TECHNOLOGY DISTRICT,4013,45221,1437,30061,13723,39976
DEER VALLEY UNIFIED,4013,273905,22021,105504,146380,253630
AGUA FRIA UNION HIGH SCHOOL DISTRICT 216,4013,63871,3870,25451,34550,61199
SADDLE MOUNTAIN UNIFIED,4013,15398,1873,826,12699,14551
FOUNTAIN HILLS SCHOOL DISTRICT 98,4013,15990,1980,3044,10966,14547
BULLHEAD CITY SCHOOL DISTRICT 15,4015,21825,4635,9358,7832,21429
HACKBERRY SCHOOL DISTRICT 3,4015,1109,122,78,909,907
KINGMAN UNIFIED SCHOOL DISTRICT 20,4015,60437,7608,18308,34521,49205
LITTLEFIELD SCHOOL DISTRICT 9,4015,4006,645,1970,1391,3809
MOHAVE VALLEY SCHOOL DISTRICT 16,4015,12065,1949,3953,6163,9961
OWENS WHITNEY SCHOOL DISTRICT 6,4015,402,27,24,351,441
PEACH SPRINGS UNIFIED,4015,3533,1702,765,1066,2654
COLORADO CITY UNIFIED SCHOOL DISTRICT 14,4015,5631,1669,2658,1304,5010
TOPOCK SCHOOL DISTRICT 12,4015,1153,245,182,726,1109
VALENTINE SCHOOL DISTRICT 22,4015,512,30,267,215,708
YUCCA SCHOOL DISTRICT 13,4015,614,55,28,531,491
WESTERN ARIZONA VOCATIONAL DISTRICT #50,4015,3570,0,2146,1424,2834
COLORADO R UNION HIGH SCHOOL DISTRICT 2,4015,16914,2029,3241,11644,14981
LAKE HAVASU UNIFIED SCHOOL DISTRICT 1,4015,40891,4868,9825,26198,36711
HOLBROOK UNIFIED SCHOOL DISTRICT 3,4017,24224,8326,11466,4432,22612
JOSEPH CITY SCHOOL DISTRICT 2,4017,5602,446,248,4908,4768
KAYENTA UNIFIED SCHOOL DISTRICT 27,4017,29465,16263,10346,2856,25371
CEDAR UNIFIED SCHOOL DISTRICT 25,4017,3188,1840,1164,184,3598
BLUE RIDGE UNIFIED SCHOOL DISTRICT 32,4017,18947,2586,3769,12592,16988
SHOW LOW UNIFIED SCHOOL DISTRICT 10,4017,18389,2082,7352,8955,16522
SNOWFLAKE UNIFIED SCHOOL DISTRICT 5,4017,17235,2060,9844,5331,15812
WHITERIVER UNIFIED SCHOOL DISTRICT 20,4017,30264,16391,12163,1710,26012
WINSLOW UNIFIED SCHOOL DISTRICT 1,4017,19589,5991,9878,3720,17176
NORTHERN ARIZONA VOCATIONAL INSTITUTE OF TECHNOLOGY,4017,4895,51,3756,1088,2138
NORTHEAST ARIZONA TECHNOLOGICAL INSTITUTE OF VOCATIONAL EDUCATIO,4017,3779,57,3416,306,2493
PINON SCHOOL UNIFIED SCHOOL DISTRICT 4,4017,21517,10742,8594,2181,19521
HEBER OVERGAARD,4017,5400,773,1084,3543,4561
AJO SCHOOL DISTRICT 15 AND 103,4019,3994,960,1989,1045,3797
AMPHITHEATER SCHOOL DISTRICT 10,4019,125705,14309,32058,79338,120016
CATALINA FOOTHILLS SCHOOL DISTRICT 16,4019,42431,1459,10184,30788,45902
CONTINENTAL SCHOOL DISTRICT 39,4019,7245,488,1479,5278,7038
EMPIRE SCHOOL DISTRICT 37,4019,40,0,9,31,408
FLOWING WELLS SCHOOL DISTRICT 8,4019,44728,7487,20088,17153,41904
INDIAN OASIS-BABOQUIVARA UNIFIED SCHOOL DISTRICT 40,4019,19187,11768,6405,1014,16424
MARANA UNIFIED SCHOOL DISTRICT 6,4019,104357,9433,44616,50308,120173
REDINGTON SCHOOL DISTRICT 44,4019,77,0,18,59,133
SAHUARITA SCHOOL DISTRICT 30,4019,48999,3085,19041,26873,43732
SAN FERNANDO SCHOOL DISTRICT 35,4019,286,24,168,94,351
SUNNYSIDE SCHOOL DISTRICT 12,4019,121517,27628,67444,26445,125010
TANQUE VERDE UNIFIED SCHOOL DISTRICT 13,4019,15947,556,6342,9049,15815
ALTAR VALLEY SCHOOL DISTRICT 51,4019,9263,1549,4975,2739,8370
TUCSON UNIFIED SCHOOL DISTRICT 1,4019,449642,67416,170965,211261,411163
VAIL UNIFIED,4019,99510,5805,51959,41746,102974
PIMA COUNTY JOINT TECHNOLOGICAL EDUCATION DISTRICT NUMBER 11,4019,19912,337,13773,5802,17498
APACHE JUNCTION UNIFIED SCHOOL DISTRICT 43,4021,34090,2761,12584,18745,29619
CASA GRANDE SCHOOL DISTRICT 4,4021,53699,7983,28753,16963,50379
CASA GRANDE UNION HIGH SCHOOL DISTRICT 82,4021,36757,5117,14446,17194,29714
COOLIDGE SCHOOL DISTRICT 21,4021,29244,5125,12259,11860,28313
ELOY SCHOOL DISTRICT 11,4021,8491,2477,4595,1419,8016
FLORENCE UNIFIED SCHOOL DISTRICT 1,4021,66513,7015,37102,22396,59847
MAMMOTH-SAN MANUEL UNIFIED SCHOOL DISTRICT 8,4021,7373,1295,4354,1724,7313
MARICOPA SCHOOL DISTRICT 20,4021,49548,5585,29651,14312,44002
ORACLE SCHOOL DISTRICT 2,4021,6405,563,1665,4177,6152
PICACHO SCHOOL DISTRICT 33,4021,1663,236,266,1161,1578
RAY SCHOOL DISTRICT 3,4021,4247,673,1775,1799,4414
RED ROCK SCHOOL DISTRICT 5,4021,2440,178,1226,1036,2333
SACATON SCHOOL DISTRICT 18,4021,11223,6791,3643,789,9889
SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT 840,4021,6107,573,1099,4435,4378
STANFIELD SCHOOL DISTRICT 24,4021,4492,691,2710,1091,8161
SUPERIOR SCHOOL DISTRICT 15,4021,4836,809,1814,2213,4202
TOLTEC SCHOOL DISTRICT 22,4021,9450,2061,4580,2809,8557
CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY,4021,6598,69,5454,1075,4715
